date,date_iso,description,merchant,type,money_in,money_out,balance,direction,category
10 Jul 25,2025-07-10,ASOS,ASOS,DEB,,27.55,292.38,OUT,Shopping
11 Jul 25,2025-07-11,Tesco,Tesco,DEB,,37.59,254.79,OUT,Groceries
11 Jul 25,2025-07-11,TfL,TfL,DEB,,4.31,250.48,OUT,Transport
11 Jul 25,2025-07-11,Nandos,Nandos,DEB,,23.73,226.75,OUT,Eating Out
12 Jul 25,2025-07-12,Lidl,Lidl,DEB,,15.04,211.71,OUT,Groceries
12 Jul 25,2025-07-12,TfL,TfL,DEB,,5.48,206.23,OUT,Transport
12 Jul 25,2025-07-12,Uber Eats,Uber Eats,DEB,,20.31,185.92,OUT,Food Delivery
12 Jul 25,2025-07-12,Starbucks,Starbucks,DEB,,3.6,182.32,OUT,Coffee & Cafe
12 Jul 25,2025-07-12,Costa Coffee,Costa Coffee,DEB,,3.49,178.83,OUT,Coffee & Cafe
13 Jul 25,2025-07-13,Sainsburys,Sainsburys,DEB,,46.3,132.53,OUT,Groceries
13 Jul 25,2025-07-13,TfL,TfL,DEB,,3.06,129.47,OUT,Transport
13 Jul 25,2025-07-13,Shell Fuel,Shell Fuel,DEB,,39.97,89.5,OUT,Transport
14 Jul 25,2025-07-14,Tesco,Tesco,DEB,,26.43,63.07,OUT,Groceries
14 Jul 25,2025-07-14,TfL,TfL,DEB,,3.39,59.68,OUT,Transport
14 Jul 25,2025-07-14,Shell Fuel,Shell Fuel,DEB,,46.3,13.38,OUT,Transport
14 Jul 25,2025-07-14,Boots,Boots,DEB,,13.79,-0.41,OUT,Shopping
15 Jul 25,2025-07-15,Tesco,Tesco,DEB,,30.21,-30.62,OUT,Groceries
15 Jul 25,2025-07-15,TfL,TfL,DEB,,2.77,-33.39,OUT,Transport
15 Jul 25,2025-07-15,Trainline,Trainline,DEB,,37.58,-70.97,OUT,Transport
15 Jul 25,2025-07-15,Nandos,Nandos,DEB,,18.93,-89.9,OUT,Eating Out
15 Jul 25,2025-07-15,Starbucks,Starbucks,DEB,,3.25,-93.15,OUT,Coffee & Cafe
15 Jul 25,2025-07-15,Costa Coffee,Costa Coffee,DEB,,4.08,-97.23,OUT,Coffee & Cafe
16 Jul 25,2025-07-16,Tesco,Tesco,DEB,,40.52,-137.75,OUT,Groceries
16 Jul 25,2025-07-16,Sainsburys,Sainsburys,DEB,,57.13,-194.88,OUT,Groceries
16 Jul 25,2025-07-16,TfL,TfL,DEB,,5.64,-200.52,OUT,Transport
16 Jul 25,2025-07-16,Starbucks,Starbucks,DEB,,5.09,-205.61,OUT,Coffee & Cafe
17 Jul 25,2025-07-17,Tesco,Tesco,DEB,,36.5,-242.11,OUT,Groceries
18 Jul 25,2025-07-18,TfL,TfL,DEB,,7.69,-249.8,OUT,Transport
18 Jul 25,2025-07-18,Uber,Uber,DEB,,19.4,-269.2,OUT,Transport
18 Jul 25,2025-07-18,Deliveroo,Deliveroo,DEB,,17.1,-286.3,OUT,Food Delivery
19 Jul 25,2025-07-19,Tesco,Tesco,DEB,,60.4,-346.7,OUT,Groceries
19 Jul 25,2025-07-19,TfL,TfL,DEB,,7.88,-354.58,OUT,Transport
19 Jul 25,2025-07-19,Greggs,Greggs,DEB,,2.27,-356.85,OUT,Eating Out
19 Jul 25,2025-07-19,ASOS,ASOS,DEB,,33.48,-390.33,OUT,Shopping
20 Jul 25,2025-07-20,Aldi,Aldi,DEB,,19.93,-410.26,OUT,Groceries
20 Jul 25,2025-07-20,TfL,TfL,DEB,,5.58,-415.84,OUT,Transport
20 Jul 25,2025-07-20,Uber Eats,Uber Eats,DEB,,29.2,-445.04,OUT,Food Delivery
20 Jul 25,2025-07-20,Starbucks,Starbucks,DEB,,4.66,-449.7,OUT,Coffee & Cafe
20 Jul 25,2025-07-20,Costa Coffee,Costa Coffee,DEB,,3.82,-453.52,OUT,Coffee & Cafe
21 Jul 25,2025-07-21,TfL,TfL,DEB,,5.27,-458.79,OUT,Transport
21 Jul 25,2025-07-21,Costa Coffee,Costa Coffee,DEB,,3.08,-461.87,OUT,Coffee & Cafe
22 Jul 25,2025-07-22,Aldi,Aldi,DEB,,30.76,-492.63,OUT,Groceries
22 Jul 25,2025-07-22,TfL,TfL,DEB,,7.98,-500.61,OUT,Transport
22 Jul 25,2025-07-22,Boots,Boots,DEB,,7.2,-507.81,OUT,Shopping
22 Jul 25,2025-07-22,Starbucks,Starbucks,DEB,,3.35,-511.16,OUT,Coffee & Cafe
24 Jul 25,2025-07-24,TfL,TfL,DEB,,6.74,-517.9,OUT,Transport
25 Jul 25,2025-07-25,Uber,Uber,DEB,,24.31,-542.21,OUT,Transport
25 Jul 25,2025-07-25,McDonalds,McDonalds,DEB,,11.19,-553.4,OUT,Eating Out
25 Jul 25,2025-07-25,Greggs,Greggs,DEB,,2.86,-556.26,OUT,Eating Out
25 Jul 25,2025-07-25,Uber Eats,Uber Eats,DEB,,25.63,-581.89,OUT,Food Delivery
26 Jul 25,2025-07-26,TfL,TfL,DEB,,3.8,-585.69,OUT,Transport
26 Jul 25,2025-07-26,Uber,Uber,DEB,,11.49,-597.18,OUT,Transport
26 Jul 25,2025-07-26,Trainline,Trainline,DEB,,35.09,-632.27,OUT,Transport
27 Jul 25,2025-07-27,Uber,Uber,DEB,,12.63,-644.9,OUT,Transport
27 Jul 25,2025-07-27,McDonalds,McDonalds,DEB,,10.47,-655.37,OUT,Eating Out
27 Jul 25,2025-07-27,Pizza Express,Pizza Express,DEB,,36.63,-692.0,OUT,Eating Out
27 Jul 25,2025-07-27,Starbucks,Starbucks,DEB,,5.41,-697.41,OUT,Coffee & Cafe
28 Jul 25,2025-07-28,Tesco,Tesco,DEB,,27.13,-724.54,OUT,Groceries
28 Jul 25,2025-07-28,Aldi,Aldi,DEB,,15.29,-739.83,OUT,Groceries
29 Jul 25,2025-07-29,TfL,TfL,DEB,,2.15,-741.98,OUT,Transport
29 Jul 25,2025-07-29,McDonalds,McDonalds,DEB,,10.41,-752.39,OUT,Eating Out
29 Jul 25,2025-07-29,Starbucks,Starbucks,DEB,,4.36,-756.75,OUT,Coffee & Cafe
30 Jul 25,2025-07-30,TfL,TfL,DEB,,7.89,-764.64,OUT,Transport
30 Jul 25,2025-07-30,Nandos,Nandos,DEB,,12.69,-777.33,OUT,Eating Out
30 Jul 25,2025-07-30,Deliveroo,Deliveroo,DEB,,16.88,-794.21,OUT,Food Delivery
30 Jul 25,2025-07-30,Amazon,Amazon,DEB,,36.68,-830.89,OUT,Shopping
31 Jul 25,2025-07-31,Sainsburys,Sainsburys,DEB,,52.65,-883.54,OUT,Groceries
31 Jul 25,2025-07-31,Aldi,Aldi,DEB,,24.33,-907.87,OUT,Groceries
31 Jul 25,2025-07-31,TfL,TfL,DEB,,2.09,-909.96,OUT,Transport
31 Jul 25,2025-07-31,McDonalds,McDonalds,DEB,,7.03,-916.99,OUT,Eating Out
31 Jul 25,2025-07-31,Costa Coffee,Costa Coffee,DEB,,5.0,-921.99,OUT,Coffee & Cafe
01 Aug 25,2025-08-01,Landlord Payment,Landlord Payment,DEB,,894.16,-1816.15,OUT,Rent
01 Aug 25,2025-08-01,British Gas,British Gas,DEB,,111.94,-1928.09,OUT,Bills
01 Aug 25,2025-08-01,Amazon Prime,Amazon Prime,DEB,,8.99,-1937.08,OUT,Subscriptions
01 Aug 25,2025-08-01,TfL,TfL,DEB,,5.63,-1942.71,OUT,Transport
01 Aug 25,2025-08-01,Uber,Uber,DEB,,19.04,-1961.75,OUT,Transport
01 Aug 25,2025-08-01,Costa Coffee,Costa Coffee,DEB,,4.85,-1966.6,OUT,Coffee & Cafe
02 Aug 25,2025-08-02,Netflix,Netflix,DEB,,14.88,-1981.48,OUT,Subscriptions
02 Aug 25,2025-08-02,TfL,TfL,DEB,,7.5,-1988.98,OUT,Transport
02 Aug 25,2025-08-02,Uber,Uber,DEB,,10.75,-1999.73,OUT,Transport
03 Aug 25,2025-08-03,Council Tax,Council Tax,DEB,,102.9,-2102.63,OUT,Bills
03 Aug 25,2025-08-03,British Gas,British Gas,DEB,,96.22,-2198.85,OUT,Bills
03 Aug 25,2025-08-03,Thames Water,Thames Water,DEB,,48.04,-2246.89,OUT,Bills
03 Aug 25,2025-08-03,Netflix,Netflix,DEB,,11.03,-2257.92,OUT,Subscriptions
03 Aug 25,2025-08-03,Tesco,Tesco,DEB,,52.49,-2310.41,OUT,Groceries
03 Aug 25,2025-08-03,Sainsburys,Sainsburys,DEB,,46.04,-2356.45,OUT,Groceries
03 Aug 25,2025-08-03,TfL,TfL,DEB,,4.22,-2360.67,OUT,Transport
03 Aug 25,2025-08-03,McDonalds,McDonalds,DEB,,4.42,-2365.09,OUT,Eating Out
04 Aug 25,2025-08-04,Netflix,Netflix,DEB,,17.88,-2382.97,OUT,Subscriptions
04 Aug 25,2025-08-04,TfL,TfL,DEB,,4.98,-2387.95,OUT,Transport
05 Aug 25,2025-08-05,Thames Water,Thames Water,DEB,,36.5,-2424.45,OUT,Bills
05 Aug 25,2025-08-05,Aldi,Aldi,DEB,,44.82,-2469.27,OUT,Groceries
05 Aug 25,2025-08-05,TfL,TfL,DEB,,6.67,-2475.94,OUT,Transport
05 Aug 25,2025-08-05,Uber,Uber,DEB,,17.66,-2493.6,OUT,Transport
06 Aug 25,2025-08-06,TfL,TfL,DEB,,4.77,-2498.37,OUT,Transport
06 Aug 25,2025-08-06,Uber,Uber,DEB,,12.37,-2510.74,OUT,Transport
06 Aug 25,2025-08-06,McDonalds,McDonalds,DEB,,8.35,-2519.09,OUT,Eating Out
06 Aug 25,2025-08-06,Just Eat,Just Eat,DEB,,26.36,-2545.45,OUT,Food Delivery
07 Aug 25,2025-08-07,Trainline,Trainline,DEB,,54.16,-2599.61,OUT,Transport
08 Aug 25,2025-08-08,TfL,TfL,DEB,,3.29,-2602.9,OUT,Transport
08 Aug 25,2025-08-08,McDonalds,McDonalds,DEB,,10.6,-2613.5,OUT,Eating Out
08 Aug 25,2025-08-08,Greggs,Greggs,DEB,,6.63,-2620.13,OUT,Eating Out
08 Aug 25,2025-08-08,Uber Eats,Uber Eats,DEB,,16.74,-2636.87,OUT,Food Delivery
08 Aug 25,2025-08-08,Amazon,Amazon,DEB,,40.79,-2677.66,OUT,Shopping
08 Aug 25,2025-08-08,Costa Coffee,Costa Coffee,DEB,,3.88,-2681.54,OUT,Coffee & Cafe
09 Aug 25,2025-08-09,TfL,TfL,DEB,,6.62,-2688.16,OUT,Transport
09 Aug 25,2025-08-09,Deliveroo,Deliveroo,DEB,,23.05,-2711.21,OUT,Food Delivery
09 Aug 25,2025-08-09,Starbucks,Starbucks,DEB,,4.35,-2715.56,OUT,Coffee & Cafe
10 Aug 25,2025-08-10,Tesco,Tesco,DEB,,79.59,-2795.15,OUT,Groceries
10 Aug 25,2025-08-10,Aldi,Aldi,DEB,,47.23,-2842.38,OUT,Groceries
10 Aug 25,2025-08-10,TfL,TfL,DEB,,6.75,-2849.13,OUT,Transport
10 Aug 25,2025-08-10,Uber,Uber,DEB,,10.74,-2859.87,OUT,Transport
10 Aug 25,2025-08-10,Pizza Express,Pizza Express,DEB,,16.98,-2876.85,OUT,Eating Out
10 Aug 25,2025-08-10,Costa Coffee,Costa Coffee,DEB,,3.84,-2880.69,OUT,Coffee & Cafe
11 Aug 25,2025-08-11,Aldi,Aldi,DEB,,24.11,-2904.8,OUT,Groceries
11 Aug 25,2025-08-11,TfL,TfL,DEB,,6.01,-2910.81,OUT,Transport
11 Aug 25,2025-08-11,Pizza Express,Pizza Express,DEB,,36.83,-2947.64,OUT,Eating Out
11 Aug 25,2025-08-11,Deliveroo,Deliveroo,DEB,,20.9,-2968.54,OUT,Food Delivery
11 Aug 25,2025-08-11,Starbucks,Starbucks,DEB,,4.75,-2973.29,OUT,Coffee & Cafe
12 Aug 25,2025-08-12,Tesco,Tesco,DEB,,20.12,-2993.41,OUT,Groceries
12 Aug 25,2025-08-12,TfL,TfL,DEB,,4.39,-2997.8,OUT,Transport
12 Aug 25,2025-08-12,Shell Fuel,Shell Fuel,DEB,,55.88,-3053.68,OUT,Transport
12 Aug 25,2025-08-12,Greggs,Greggs,DEB,,5.93,-3059.61,OUT,Eating Out
13 Aug 25,2025-08-13,Tesco,Tesco,DEB,,29.59,-3089.2,OUT,Groceries
13 Aug 25,2025-08-13,TfL,TfL,DEB,,4.66,-3093.86,OUT,Transport
13 Aug 25,2025-08-13,Deliveroo,Deliveroo,DEB,,27.44,-3121.3,OUT,Food Delivery
13 Aug 25,2025-08-13,ASOS,ASOS,DEB,,70.16,-3191.46,OUT,Shopping
13 Aug 25,2025-08-13,Costa Coffee,Costa Coffee,DEB,,3.47,-3194.93,OUT,Coffee & Cafe
14 Aug 25,2025-08-14,TfL,TfL,DEB,,3.5,-3198.43,OUT,Transport
14 Aug 25,2025-08-14,Uber,Uber,DEB,,19.71,-3218.14,OUT,Transport
15 Aug 25,2025-08-15,Sainsburys,Sainsburys,DEB,,16.05,-3234.19,OUT,Groceries
15 Aug 25,2025-08-15,Aldi,Aldi,DEB,,41.61,-3275.8,OUT,Groceries
15 Aug 25,2025-08-15,Lidl,Lidl,DEB,,24.39,-3300.19,OUT,Groceries
15 Aug 25,2025-08-15,TfL,TfL,DEB,,6.82,-3307.01,OUT,Transport
15 Aug 25,2025-08-15,Shell Fuel,Shell Fuel,DEB,,42.37,-3349.38,OUT,Transport
15 Aug 25,2025-08-15,Uber Eats,Uber Eats,DEB,,29.45,-3378.83,OUT,Food Delivery
16 Aug 25,2025-08-16,McDonalds,McDonalds,DEB,,5.73,-3384.56,OUT,Eating Out
16 Aug 25,2025-08-16,ATM Withdrawal,ATM Withdrawal,DEB,,23.64,-3408.2,OUT,Cash
17 Aug 25,2025-08-17,TfL,TfL,DEB,,2.36,-3410.56,OUT,Transport
18 Aug 25,2025-08-18,TfL,TfL,DEB,,2.14,-3412.7,OUT,Transport
18 Aug 25,2025-08-18,Greggs,Greggs,DEB,,4.97,-3417.67,OUT,Eating Out
19 Aug 25,2025-08-19,TfL,TfL,DEB,,4.24,-3421.91,OUT,Transport
19 Aug 25,2025-08-19,Deliveroo,Deliveroo,DEB,,28.41,-3450.32,OUT,Food Delivery
20 Aug 25,2025-08-20,TfL,TfL,DEB,,6.78,-3457.1,OUT,Transport
20 Aug 25,2025-08-20,Shell Fuel,Shell Fuel,DEB,,48.98,-3506.08,OUT,Transport
20 Aug 25,2025-08-20,Costa Coffee,Costa Coffee,DEB,,4.9,-3510.98,OUT,Coffee & Cafe
21 Aug 25,2025-08-21,Lidl,Lidl,DEB,,9.83,-3520.81,OUT,Groceries
21 Aug 25,2025-08-21,TfL,TfL,DEB,,3.95,-3524.76,OUT,Transport
22 Aug 25,2025-08-22,Tesco,Tesco,DEB,,55.75,-3580.51,OUT,Groceries
23 Aug 25,2025-08-23,Aldi,Aldi,DEB,,36.12,-3616.63,OUT,Groceries
23 Aug 25,2025-08-23,TfL,TfL,DEB,,5.9,-3622.53,OUT,Transport
23 Aug 25,2025-08-23,Nandos,Nandos,DEB,,21.07,-3643.6,OUT,Eating Out
23 Aug 25,2025-08-23,Uber Eats,Uber Eats,DEB,,28.43,-3672.03,OUT,Food Delivery
25 Aug 25,2025-08-25,Employer Salary,Employer Salary,FPI,2114.13,,-1557.9,IN,Income
25 Aug 25,2025-08-25,Side Gig Payment,Side Gig Payment,FPI,130.9,,-1427.0,IN,Income
25 Aug 25,2025-08-25,TfL,TfL,DEB,,6.01,-1433.01,OUT,Transport
26 Aug 25,2025-08-26,Tesco,Tesco,DEB,,47.31,-1480.32,OUT,Groceries
26 Aug 25,2025-08-26,Sainsburys,Sainsburys,DEB,,35.12,-1515.44,OUT,Groceries
26 Aug 25,2025-08-26,TfL,TfL,DEB,,3.97,-1519.41,OUT,Transport
26 Aug 25,2025-08-26,McDonalds,McDonalds,DEB,,7.59,-1527.0,OUT,Eating Out
26 Aug 25,2025-08-26,Just Eat,Just Eat,DEB,,18.32,-1545.32,OUT,Food Delivery
26 Aug 25,2025-08-26,ATM Withdrawal,ATM Withdrawal,DEB,,47.56,-1592.88,OUT,Cash
27 Aug 25,2025-08-27,Starbucks,Starbucks,DEB,,3.07,-1595.95,OUT,Coffee & Cafe
28 Aug 25,2025-08-28,Employer Salary,Employer Salary,FPI,2704.29,,1108.34,IN,Income
28 Aug 25,2025-08-28,TfL,TfL,DEB,,5.56,1102.78,OUT,Transport
28 Aug 25,2025-08-28,McDonalds,McDonalds,DEB,,6.95,1095.83,OUT,Eating Out
30 Aug 25,2025-08-30,Tesco,Tesco,DEB,,33.29,1062.54,OUT,Groceries
30 Aug 25,2025-08-30,Aldi,Aldi,DEB,,12.91,1049.63,OUT,Groceries
30 Aug 25,2025-08-30,TfL,TfL,DEB,,6.03,1043.6,OUT,Transport
30 Aug 25,2025-08-30,Starbucks,Starbucks,DEB,,3.96,1039.64,OUT,Coffee & Cafe
31 Aug 25,2025-08-31,TfL,TfL,DEB,,2.88,1036.76,OUT,Transport
01 Sep 25,2025-09-01,Amazon Prime,Amazon Prime,DEB,,8.99,1027.77,OUT,Subscriptions
01 Sep 25,2025-09-01,Gym Membership,Gym Membership,DEB,,43.63,984.14,OUT,Subscriptions
01 Sep 25,2025-09-01,iCloud Storage,iCloud Storage,DEB,,2.52,981.62,OUT,Subscriptions
01 Sep 25,2025-09-01,TfL,TfL,DEB,,5.03,976.59,OUT,Transport
01 Sep 25,2025-09-01,Pizza Express,Pizza Express,DEB,,28.79,947.8,OUT,Eating Out
01 Sep 25,2025-09-01,Deliveroo,Deliveroo,DEB,,24.18,923.62,OUT,Food Delivery
01 Sep 25,2025-09-01,Amazon,Amazon,DEB,,82.25,841.37,OUT,Shopping
01 Sep 25,2025-09-01,Starbucks,Starbucks,DEB,,3.29,838.08,OUT,Coffee & Cafe
01 Sep 25,2025-09-01,Costa Coffee,Costa Coffee,DEB,,3.38,834.7,OUT,Coffee & Cafe
02 Sep 25,2025-09-02,Gym Membership,Gym Membership,DEB,,44.76,789.94,OUT,Subscriptions
02 Sep 25,2025-09-02,iCloud Storage,iCloud Storage,DEB,,1.59,788.35,OUT,Subscriptions
02 Sep 25,2025-09-02,Sainsburys,Sainsburys,DEB,,59.54,728.81,OUT,Groceries
02 Sep 25,2025-09-02,Lidl,Lidl,DEB,,19.18,709.63,OUT,Groceries
02 Sep 25,2025-09-02,TfL,TfL,DEB,,4.86,704.77,OUT,Transport
02 Sep 25,2025-09-02,Shell Fuel,Shell Fuel,DEB,,63.81,640.96,OUT,Transport
03 Sep 25,2025-09-03,Council Tax,Council Tax,DEB,,101.57,539.39,OUT,Bills
03 Sep 25,2025-09-03,Gym Membership,Gym Membership,DEB,,24.06,515.33,OUT,Subscriptions
03 Sep 25,2025-09-03,TfL,TfL,DEB,,6.44,508.89,OUT,Transport
03 Sep 25,2025-09-03,Shell Fuel,Shell Fuel,DEB,,59.82,449.07,OUT,Transport
03 Sep 25,2025-09-03,McDonalds,McDonalds,DEB,,5.09,443.98,OUT,Eating Out
03 Sep 25,2025-09-03,Greggs,Greggs,DEB,,5.63,438.35,OUT,Eating Out
04 Sep 25,2025-09-04,iCloud Storage,iCloud Storage,DEB,,2.41,435.94,OUT,Subscriptions
04 Sep 25,2025-09-04,TfL,TfL,DEB,,3.85,432.09,OUT,Transport
04 Sep 25,2025-09-04,Deliveroo,Deliveroo,DEB,,20.14,411.95,OUT,Food Delivery
04 Sep 25,2025-09-04,Uber Eats,Uber Eats,DEB,,21.96,389.99,OUT,Food Delivery
05 Sep 25,2025-09-05,Tesco,Tesco,DEB,,25.7,364.29,OUT,Groceries
05 Sep 25,2025-09-05,Greggs,Greggs,DEB,,4.37,359.92,OUT,Eating Out
06 Sep 25,2025-09-06,TfL,TfL,DEB,,5.55,354.37,OUT,Transport
06 Sep 25,2025-09-06,Starbucks,Starbucks,DEB,,4.98,349.39,OUT,Coffee & Cafe
07 Sep 25,2025-09-07,Tesco,Tesco,DEB,,77.63,271.76,OUT,Groceries
07 Sep 25,2025-09-07,Uber,Uber,DEB,,9.96,261.8,OUT,Transport
07 Sep 25,2025-09-07,Amazon,Amazon,DEB,,14.37,247.43,OUT,Shopping
08 Sep 25,2025-09-08,Sainsburys,Sainsburys,DEB,,50.72,196.71,OUT,Groceries
08 Sep 25,2025-09-08,TfL,TfL,DEB,,6.71,190.0,OUT,Transport
08 Sep 25,2025-09-08,Shell Fuel,Shell Fuel,DEB,,58.88,131.12,OUT,Transport
08 Sep 25,2025-09-08,McDonalds,McDonalds,DEB,,3.4,127.72,OUT,Eating Out
08 Sep 25,2025-09-08,Pizza Express,Pizza Express,DEB,,23.58,104.14,OUT,Eating Out
08 Sep 25,2025-09-08,Deliveroo,Deliveroo,DEB,,30.4,73.74,OUT,Food Delivery
09 Sep 25,2025-09-09,Tesco,Tesco,DEB,,21.11,52.63,OUT,Groceries
09 Sep 25,2025-09-09,TfL,TfL,DEB,,6.8,45.83,OUT,Transport
09 Sep 25,2025-09-09,Amazon,Amazon,DEB,,38.44,7.39,OUT,Shopping
10 Sep 25,2025-09-10,TfL,TfL,DEB,,5.22,2.17,OUT,Transport
10 Sep 25,2025-09-10,Greggs,Greggs,DEB,,7.05,-4.88,OUT,Eating Out
11 Sep 25,2025-09-11,Tesco,Tesco,DEB,,26.65,-31.53,OUT,Groceries
11 Sep 25,2025-09-11,TfL,TfL,DEB,,5.06,-36.59,OUT,Transport
11 Sep 25,2025-09-11,Starbucks,Starbucks,DEB,,3.79,-40.38,OUT,Coffee & Cafe
12 Sep 25,2025-09-12,TfL,TfL,DEB,,5.58,-45.96,OUT,Transport
12 Sep 25,2025-09-12,Uber,Uber,DEB,,24.58,-70.54,OUT,Transport
12 Sep 25,2025-09-12,Amazon,Amazon,DEB,,31.35,-101.89,OUT,Shopping
12 Sep 25,2025-09-12,Starbucks,Starbucks,DEB,,3.97,-105.86,OUT,Coffee & Cafe
13 Sep 25,2025-09-13,TfL,TfL,DEB,,4.93,-110.79,OUT,Transport
14 Sep 25,2025-09-14,McDonalds,McDonalds,DEB,,6.24,-117.03,OUT,Eating Out
14 Sep 25,2025-09-14,Greggs,Greggs,DEB,,5.99,-123.02,OUT,Eating Out
14 Sep 25,2025-09-14,Deliveroo,Deliveroo,DEB,,26.39,-149.41,OUT,Food Delivery
14 Sep 25,2025-09-14,Starbucks,Starbucks,DEB,,4.78,-154.19,OUT,Coffee & Cafe
15 Sep 25,2025-09-15,Sainsburys,Sainsburys,DEB,,22.23,-176.42,OUT,Groceries
15 Sep 25,2025-09-15,Greggs,Greggs,DEB,,5.9,-182.32,OUT,Eating Out
15 Sep 25,2025-09-15,Starbucks,Starbucks,DEB,,5.26,-187.58,OUT,Coffee & Cafe
16 Sep 25,2025-09-16,Lidl,Lidl,DEB,,34.65,-222.23,OUT,Groceries
16 Sep 25,2025-09-16,Boots,Boots,DEB,,14.03,-236.26,OUT,Shopping
17 Sep 25,2025-09-17,Tesco,Tesco,DEB,,7.99,-244.25,OUT,Groceries
17 Sep 25,2025-09-17,Sainsburys,Sainsburys,DEB,,48.41,-292.66,OUT,Groceries
17 Sep 25,2025-09-17,TfL,TfL,DEB,,4.49,-297.15,OUT,Transport
17 Sep 25,2025-09-17,Starbucks,Starbucks,DEB,,5.1,-302.25,OUT,Coffee & Cafe
18 Sep 25,2025-09-18,Aldi,Aldi,DEB,,10.51,-312.76,OUT,Groceries
18 Sep 25,2025-09-18,TfL,TfL,DEB,,4.98,-317.74,OUT,Transport
19 Sep 25,2025-09-19,Sainsburys,Sainsburys,DEB,,45.74,-363.48,OUT,Groceries
19 Sep 25,2025-09-19,Aldi,Aldi,DEB,,44.35,-407.83,OUT,Groceries
19 Sep 25,2025-09-19,Lidl,Lidl,DEB,,6.61,-414.44,OUT,Groceries
